,Log Return,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown,Win Rate,Profit Factor,Calmar Ratio,Total Trades
original_model on original_test,2.8327739142535675,15.99253133445227,59.499680420197706,26.527266823564634,-0.2803877728862561,0.49335920011938517,3.1680297919667813,212.2049753015968,7443.0
original_model on day_test,1.2410322975273456,2.459182527848367,8.969793238746336,17.10572958665469,-0.19557911515948817,0.4922623434045689,2.4995920720191234,45.86273555554115,4293.0
original_model on night_test,1.5764831369785326,3.837911585345293,19.751614476787935,26.471463259971536,-0.08860136983383189,0.4880029531192322,4.485189542715245,222.92673932503808,3229.0
day_model on day_test,1.044605101628866,1.8422758918836117,5.928142958671255,7.751440067325357,-0.40979076688337207,0.4797382861967075,1.7243525130582664,14.466267758439821,4835.0
night_model on night_test,-0.33151186594340093,-0.2821623616545884,-0.47150264720034996,-4.17826857964707,-0.300745232867076,0.3192452830188679,0.7120892653955954,-1.5677809510242369,1726.0
