timestamp,action,direction,price,contracts,cost,capital_after,predicted_return,volatility,pnl_points,gross_pnl,net_pnl,reason,consecutive_losses
2019-10-09 23:59:00,OPEN,SHORT,25773.0,1,178.8649999999806,4999821.135,-0.0003895568355700497,8.498547934323266e-05,,,,,
2019-10-10 00:00:00,CLOSE,SHORT,25779.0,1,178.89499999998063,4999342.24,,,-6.0,-300.0,-478.89499999998066,signal,1.0
2019-10-11 02:10:00,OPEN,SHORT,25899.0,1,179.4949999999807,4999162.745,-0.0005278166503361187,0.0014634971768439692,,,,,
2019-10-11 02:11:00,CLOSE,SHORT,25889.0,1,179.4449999999807,4999483.3,,,10.0,500.0,320.5550000000193,signal,0.0
2019-10-11 17:15:00,OPEN,SHORT,26456.0,1,182.2799999999811,4999301.02,-0.0005044062068909801,0.009535079688570175,,,,,
2019-10-11 17:16:00,CLOSE,SHORT,26440.0,1,182.1999999999811,4999918.819999999,,,16.0,800.0,617.8000000000189,signal,0.0
2019-10-14 23:59:00,OPEN,SHORT,26481.0,1,182.40499999998113,4999736.414999999,-0.00033459858054893485,0.00014376276816024017,,,,,
2019-10-15 00:00:00,CLOSE,SHORT,26481.0,1,182.40499999998113,4999554.009999999,,,0.0,0.0,-182.40499999998113,signal,1.0
2019-10-16 23:59:00,OPEN,SHORT,26743.0,1,183.7149999999813,4999370.294999999,-0.0006121364726380279,8.106859160062189e-05,,,,,
2019-10-17 00:00:00,CLOSE,SHORT,26750.0,1,183.74999999998133,4998836.544999999,,,-7.0,-350.0,-533.7499999999814,signal,1.0
2019-10-17 17:19:00,OPEN,LONG,26885.0,1,184.42499999998142,4998652.119999999,0.00028260627870136637,0.002105067116962482,,,,,
2019-10-17 17:20:00,CLOSE,LONG,26885.0,1,184.42499999998142,4998467.694999999,,,0.0,0.0,-184.42499999998142,signal,2.0
2019-10-17 23:59:00,OPEN,SHORT,26871.0,1,184.3549999999814,4998283.339999999,-0.0007312410503573458,9.986718973510551e-05,,,,,
2019-10-18 00:00:00,CLOSE,SHORT,26865.0,1,184.3249999999814,4998399.014999999,,,6.0,300.0,115.6750000000186,signal,0.0
2019-10-18 23:59:00,OPEN,SHORT,26684.0,1,183.4199999999813,4998215.594999999,-0.0008475403476163662,0.00010259679467797989,,,,,
2019-10-19 00:00:00,CLOSE,SHORT,26687.0,1,183.43499999998124,4997882.159999999,,,-3.0,-150.0,-333.43499999998124,signal,1.0
2019-10-22 23:59:00,OPEN,SHORT,26839.0,1,184.19499999998138,4997697.964999999,-0.0005000315849475949,0.00012188046830228462,,,,,
2019-10-23 00:00:00,CLOSE,SHORT,26838.0,1,184.18999999998135,4997563.7749999985,,,1.0,50.0,-134.18999999998135,signal,1.0
2019-10-23 23:59:00,OPEN,SHORT,26589.0,1,182.9449999999812,4997380.829999998,-0.0005820250382883719,9.43880341876641e-05,,,,,
2019-10-24 00:00:00,CLOSE,SHORT,26589.0,1,182.9449999999812,4997197.884999998,,,0.0,0.0,-182.9449999999812,signal,1.0
2019-10-25 23:59:00,OPEN,SHORT,26791.0,1,183.95499999998137,4997013.929999998,-0.00027479147487230704,4.088244538736277e-05,,,,,
2019-10-26 00:00:00,CLOSE,SHORT,26793.0,1,183.96499999998136,4996729.964999998,,,-2.0,-100.0,-283.9649999999814,signal,1.0
2019-10-30 23:59:00,OPEN,LONG,26656.0,1,183.27999999998127,4996546.684999998,0.0003858966521462514,0.00014675970199625718,,,,,
