method,max_drawdown,sharpe_ratio,log_return,total_pnl,final_equity,turnover,number_of_trades
fixed_one_contract,-0.3635782493104581,-10.087877972923076,-0.4469184723446104,-1802250.0,3197750.0,22925.0,11463
dynamic_balanced,-0.1206116578942219,-2.617874128667383,-0.10627014545231768,-505710.0,4494290.0,8976.0,1856
