strategy,final_equity,total_return,max_drawdown,trades
LGBM risk-managed,8571798.620000133,0.7143597240000267,-0.043048071859065215,2704
GRPO dynamic risk,6607190.0,0.3214379999999999,-0.12037250294554236,4188
