model,dataset,max_drawdown,sharpe_ratio,log_return,total_pnl,final_equity,turnover,trace_path
original_model,original_test,-1.0065541517292123,-16.74756555082604,-1000000.0,-5032070.0,-32070.0,77547.0,C:\Users\90592\Desktop\HKU\Semester 2\STAT 8020 Quantitative strategies and algorithmic trading [2025]\8020\outputs\trace_original_model_on_original_test.csv
original_model,day_test,-0.49750148792285964,-13.74413243262539,-0.6865134190544752,-2483290.0,2516710.0,40569.0,C:\Users\90592\Desktop\HKU\Semester 2\STAT 8020 Quantitative strategies and algorithmic trading [2025]\8020\outputs\trace_original_model_on_day_test.csv
original_model,night_test,-0.4926368035934796,-14.41333525407665,-0.6772490740220563,-2460120.0,2539880.0,33997.0,C:\Users\90592\Desktop\HKU\Semester 2\STAT 8020 Quantitative strategies and algorithmic trading [2025]\8020\outputs\trace_original_model_on_night_test.csv
day_model,day_test,-0.4476772752875193,-11.997295421997112,-0.5920709094836724,-2234020.0,2765980.0,37787.0,C:\Users\90592\Desktop\HKU\Semester 2\STAT 8020 Quantitative strategies and algorithmic trading [2025]\8020\outputs\trace_day_model_on_day_test.csv
night_model,night_test,-0.3061374326486108,-8.743429315916567,-0.3595386749701315,-1510260.0,3489740.0,21231.0,C:\Users\90592\Desktop\HKU\Semester 2\STAT 8020 Quantitative strategies and algorithmic trading [2025]\8020\outputs\trace_night_model_on_night_test.csv
