trade_id,entry_time,exit_time,entry_price,exit_price,position,trade_pnl,balance_after_trade,initial_capital
1,2019-11-20 09:17:00,2019-11-20 09:19:00,26913.0,26908.0,-1,-760.0,4999380.0,5000000.0
2,2019-11-20 09:20:00,2019-11-20 09:21:00,26883.0,26838.0,-1,-2370.0,4998200.0,5000000.0
3,2019-11-20 09:21:00,2019-11-20 09:26:00,26838.0,26853.0,1,140.0,4998340.0,5000000.0
4,2019-11-20 09:29:00,2019-11-20 09:31:00,26832.0,26841.0,1,390.0,4998720.0,5000000.0
5,2019-11-20 09:35:00,2019-11-20 09:36:00,26874.0,26854.0,-1,-1120.0,4998090.0,5000000.0
6,2019-11-20 09:36:00,2019-11-20 09:41:00,26854.0,26884.0,1,340.0,4998430.0,5000000.0
7,2019-11-20 09:44:00,2019-11-20 09:47:00,26791.0,26828.0,1,590.0,4997510.0,5000000.0
8,2019-11-20 09:50:00,2019-11-20 09:55:00,26825.0,26824.0,1,-160.0,4997040.0,5000000.0
9,2019-11-20 10:01:00,2019-11-20 10:07:00,26847.0,26849.0,1,-360.0,4996120.0,5000000.0
10,2019-11-20 10:11:00,2019-11-20 10:12:00,26880.0,26876.0,1,-60.0,4997800.0,5000000.0
11,2019-11-20 10:14:00,2019-11-20 10:20:00,26877.0,26886.0,1,340.0,4997780.0,5000000.0
12,2019-11-20 10:21:00,2019-11-20 10:23:00,26895.0,26889.0,1,-160.0,4998010.0,5000000.0
13,2019-11-20 10:24:00,2019-11-20 10:27:00,26877.0,26890.0,1,790.0,4998140.0,5000000.0
14,2019-11-20 10:29:00,2019-11-20 10:30:00,26908.0,26941.0,1,-60.0,4998720.0,5000000.0
15,2019-11-20 10:35:00,2019-11-20 10:44:00,26932.0,26886.0,1,-3060.0,4996250.0,5000000.0
16,2019-11-20 10:50:00,2019-11-20 10:51:00,26914.0,26913.0,1,-60.0,4996280.0,5000000.0
17,2019-11-20 10:55:00,2019-11-20 10:57:00,26907.0,26909.0,1,940.0,4997260.0,5000000.0
18,2019-11-20 10:58:00,2019-11-20 10:59:00,26886.0,26894.0,-1,280.0,4998630.0,5000000.0
19,2019-11-20 10:59:00,2019-11-20 11:02:00,26894.0,26916.0,1,840.0,4999470.0,5000000.0
